epoch,train time,train_loss,test_loss,train_acc,val/test acc
1,0.018122434616088867,1.098235,0.05,0.97499996,0.9
2,0.006986856460571289,1.0975583,0.049999997,0.97499996,0.9
3,0.009810686111450195,1.0968897,0.05,0.97499996,0.9
4,0.011562585830688477,1.0962373,0.05000001,0.97499996,0.9
5,0.009945869445800781,1.0955974,0.05,0.97499996,0.9
6,0.008142232894897461,1.0949694,0.049999997,0.97499996,0.9
7,0.012691020965576172,1.0943419,0.050000004,0.97499996,0.9
8,0.009018421173095703,1.0937104,0.05,0.97499996,0.9
9,0.009080648422241211,1.0930778,0.05000001,0.97499996,0.9
10,0.010727882385253906,1.0924444,0.049999997,0.97499996,0.9
